research_rank,criterion_id,source_item_number,name,category,classification_tags,natural_granularity,research_wave,preliminary_rationale
11,C12,12,Software and technology jobs,"Employment, income and economic opportunity","IC,SC,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,"Highly relevant for Konsider's likely early users, but jobs cluster in a few cities and occupation taxonomies vary."
12,C58,58,"Internet access, speed, and reliability",Infrastructure and daily-life reliability,"IC,SC,DO",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,Strong daily-life criterion with broad digital indicators; reliability and speed need more than subscription counts.
13,C56,56,Electricity access and reliability,Infrastructure and daily-life reliability,"IC,SC,DO",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,Basic reliability is more useful than access alone; outage data may be less universal than electrification.
14,C08,8,School education quality,Education and human capital,IC,NATIONAL_WITH_CITY_CAVEAT,BATCH_1,"High family relevance and plausible official outcomes, though national averages hide local and school-type variation."
15,C66,66,Extreme-weather risk,"Climate, environment and location","IC,SC,DO",NATIONAL_WITH_CITY_CAVEAT,BATCH_1,"Important environmental risk with plausible hazard data; define event frequency, exposure and resilience separately."
16,C38,38,Professional-licensing accessibility for immigrants,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_2,"Critical for medical and other regulated professions, but origin, profession and credential dependence makes it a likely profile layer."
17,C35,35,Post-study migration pathway,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_2,Critical for students; should be researched as a policy pathway distinct from university quality.
18,C36,36,Family reunification support,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_2,High family value; dependant categories and sponsor rules vary and change frequently.
19,C34,34,Citizenship accessibility,"Migration, visa and settlement","IC,SC,LF",NATIONAL,BATCH_2,"Important for permanence, but time-to-citizenship and dual-citizenship rules need profile-specific qualification."
20,C05,5,Research and innovation ecosystem,Education and human capital,IC,NATIONAL,BATCH_2,Strong national innovation signal with plausible official inputs; avoid double counting education and tech jobs.
21,C15,15,Engineering and skilled technical jobs,"Employment, income and economic opportunity","IC,SC,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_2,"Useful profession branch with plausible occupation data, but shortages and credential rules vary."
22,C13,13,Medical and healthcare jobs,"Employment, income and economic opportunity","IC,SC,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_2,"Strong demand signal for a major profession, but professional licensing must be separated from vacancies."
23,C14,14,"Business, finance, and professional-services jobs","Employment, income and economic opportunity","IC,SC,CR",NATIONAL_WITH_CITY_CAVEAT,BATCH_2,"Useful profession branch; broad occupational definitions may blur finance, consulting and general services."
24,C16,16,Entrepreneurship and startup opportunity,"Employment, income and economic opportunity",IC,NATIONAL,BATCH_2,High economic value with several official components; composite design and redundancy with innovation need control.
25,C19,19,Employment protection and worker rights,"Employment, income and economic opportunity","IC,SC",NATIONAL,BATCH_2,Useful quality-of-work dimension with plausible legal indicators; law and enforcement should not be conflated.
26,C22,22,Social-security and mandatory contribution burden,"Tax, cost and financial conditions","IC,SC",NATIONAL,BATCH_2,Necessary companion to income tax for take-home pay; country systems and benefit entitlements complicate comparison.
27,C26,26,Healthcare affordability,"Tax, cost and financial conditions","IC,SC",NATIONAL_WITH_CITY_CAVEAT,BATCH_2,"High family value; distinguish system financing, insurance requirements and migrant eligibility."
28,C28,28,Savings and disposable-income potential,"Tax, cost and financial conditions","IC,SC,DO,CR,LF",NATIONAL_WITH_CITY_CAVEAT,BATCH_2,"Best treated as a derived household-profile result from earnings, tax, housing and essentials rather than one raw criterion."
29,C29,29,Currency and macroeconomic stability,"Tax, cost and financial conditions","IC,SC",NATIONAL,BATCH_2,Useful risk dimension with strong national data possibilities; avoid turning short-term volatility into a permanent country label.
30,C48,48,Political stability and civil peace,"Safety, health and public services","IC,SC",NATIONAL,BATCH_2,High-level safety and continuity signal with plausible broad sources; distinguish conflict exposure from ordinary politics.
31,C49,49,Rule of law and institutional trust,"Safety, health and public services","IC,SC",NATIONAL,WAVE_3,Strong institutional criterion with broad governance indicators; survey/model uncertainty and licensing need review.
32,C53,53,Water quality and sanitation,"Safety, health and public services","IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,Strong health/infrastructure dimension with plausible broad official indicators; access does not guarantee reliability or taste.
33,C57,57,Water-supply reliability,Infrastructure and daily-life reliability,"IC,SC,CR,LF",CITY_OR_REGIONAL,WAVE_3,High practical value but continuity and scarcity are highly local and seasonally variable.
34,C70,70,Climate resilience and adaptation readiness,"Climate, environment and location","IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Promising risk-management dimension, though many indices are modelled composites and may embed socioeconomic outcomes."
35,C67,67,Long-term climate-change exposure,"Climate, environment and location","IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,Long-horizon structural risk; model assumptions and scenarios require careful communication.
36,C68,68,Natural-disaster risk,"Climate, environment and location","IC,SC,DO",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,Broad hazard exposure can complement extreme weather but overlaps it; geophysical and climate hazards may need separate components.
37,C06,6,International-student accessibility,Education and human capital,"IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Decision-relevant for students, but combines admissions, language, visa and support policies that may require multiple sources."
38,C07,7,Tuition affordability,Education and human capital,"IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,Useful only when normalized by purchasing power or income; fees vary heavily by institution and residency status.
39,C10,10,Recognition and portability of qualifications,Education and human capital,"IC,SC,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Valuable for regulated careers and study, but qualification recognition is profession- and origin-specific."
40,C62,62,Digital-government readiness,Infrastructure and daily-life reliability,"IC,SC",NATIONAL,WAVE_3,Promising institutional convenience measure with emerging official benchmarks; composite transparency is important.
41,C71,71,Work-life balance,"Family, lifestyle and long-term liveability","IC,SC,DO,CR,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Highly relevant but combines legal entitlements, actual hours, commute and culture; some components are city/profile dependent."
42,C72,72,Family friendliness,"Family, lifestyle and long-term liveability","IC,SC,DO,CR,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Broad profile-oriented composite overlapping school, childcare, safety, leave and migration rules."
43,C76,76,Social protection and welfare support,"Family, lifestyle and long-term liveability","IC,SC",NATIONAL,WAVE_3,"Important for long-term security, but immigrant eligibility and contribution history matter more than nominal generosity."
44,C42,42,Social inclusion and acceptance of immigrants,"Language, culture and integration","IC,SC,CR,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Important lived-outcome dimension, but survey comparability, bias and sparse country coverage may limit production use."
45,C37,37,Government stance toward immigrants,"Migration, visa and settlement","IC,SC,DO,LF",NATIONAL,WAVE_3,"Broad, partly subjective composite that overlaps visa, PR, rights and integration; use components rather than one opaque stance score."
46,C39,39,Visa and immigration processing efficiency,"Migration, visa and settlement","IC,SC,LF",NATIONAL,WAVE_3,"Useful administrative-quality measure, but comparable official processing-time and rejection-rate data may be incomplete."
47,C31,31,Immigrant community depth,"Migration, visa and settlement","IC,SC,CR,LF",CITY_OR_REGIONAL,WAVE_3,Valuable for origin-specific users but bilateral and city-level; likely too sparse for one universal score.
48,C02,2,Technology and engineering education,Education and human capital,"IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"High value for technical profiles, but institution-level rankings may be commercial or city-concentrated."
49,C03,3,Medical and health-sciences education,Education and human capital,"IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,High value for medical students; programme recognition and licensing make simple country scoring difficult.
50,C04,4,"Business, commerce, and management education",Education and human capital,"IC,SC",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"Useful sector branch, but likely overlaps the broader higher-education criterion."
51,C20,20,Remote-work suitability,"Employment, income and economic opportunity","IC,DO,CR,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,"User-relevant composite but overlaps internet, visas, taxes and jobs; city and time-zone dependence is substantial."
52,C18,18,Income growth and career mobility,"Employment, income and economic opportunity","IC,SC,CR,LF",NATIONAL_WITH_CITY_CAVEAT,WAVE_3,Meaningful long-term outcome but difficult to measure comparably and likely slow or survey-dependent.
53,C23,23,Consumption and indirect-tax burden,"Tax, cost and financial conditions","IC,SC",NATIONAL,WAVE_3,Useful cost input but partly reflected in observed price levels and varies by goods and exemptions.
54,C27,27,Childcare and family-cost burden,"Tax, cost and financial conditions","IC,SC,CR,LF",CITY_OR_REGIONAL,WAVE_3,"Important for families but city-, age-, household- and policy-specific, with weak global standardization."
55,C09,9,International-school availability,Education and human capital,"IC,SC,CR,LF",CITY_OR_REGIONAL,WAVE_3,Important to globally mobile families but primarily city-level and likely dependent on non-government directories.
56,C61,61,International connectivity,Infrastructure and daily-life reliability,"IC,SC,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,"Relevant for migrants and travel, but airport/city concentration and commercial schedule data complicate national scoring."
57,C59,59,Transport and logistics infrastructure,Infrastructure and daily-life reliability,"IC,SC,DO",NATIONAL_WITH_CITY_CAVEAT,DEFER_OR_SPECIAL_STUDY,Useful national infrastructure component but overlaps the existing experimental composite and may favor trade over residents.
58,C60,60,Urban public transport,Infrastructure and daily-life reliability,"IC,SC,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,"Highly useful for actual movers, but inherently metropolitan and difficult to normalize globally."
59,C64,64,Temperature comfort,"Climate, environment and location","IC,SC,CR,PF,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,Strong user relevance but primarily city/regional and preference-dependent; national annual averages are misleading.
60,C65,65,Climate preference fit,"Climate, environment and location","IC,SC,PF,LF",PREFERENCE_MODEL,DEFER_OR_SPECIAL_STUDY,"Should be a user preference-match model, not a universal higher-is-better score."
61,C69,69,Environmental quality beyond PM2.5,"Climate, environment and location","IC,SC,DO,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,"Too broad as one measure and overlaps pollution, water, waste, biodiversity and urban quality."
62,C43,43,Cultural openness and diversity,"Language, culture and integration","IC,SC,DO,CR,LF",NATIONAL_WITH_CITY_CAVEAT,DEFER_OR_SPECIAL_STUDY,"Broad and subjective; likely overlaps immigrant inclusion, rights and diversity measures."
63,C75,75,Religious freedom and freedom of expression,"Family, lifestyle and long-term liveability","IC,SC",NATIONAL,DEFER_OR_SPECIAL_STUDY,Meaningful rights criterion with plausible legal measures; legal protections and lived practice should remain distinct.
64,C45,45,LGBTQ+ legal and social inclusion,"Language, culture and integration","IC,SC",NATIONAL,DEFER_OR_SPECIAL_STUDY,"Potentially measurable through law and rights datasets, but lived safety and social acceptance should be separated."
65,C47,47,Property-crime and everyday safety,"Safety, health and public services","IC,SC,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,High practical value but reporting practices and victimization survey coverage are inconsistent; city effects are large.
66,C51,51,Emergency-care readiness,"Safety, health and public services","IC,SC,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,Important but operational emergency metrics are rarely globally standardized and are often local.
67,C55,55,Mental-health support,"Safety, health and public services","IC,SC,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,"Important lived need, yet provider access, affordability and stigma are difficult to compare globally."
68,C54,54,Food safety and public-health protection,"Safety, health and public services","IC,SC,LF",NATIONAL,DEFER_OR_SPECIAL_STUDY,"Useful in principle, but comparable inspection and outbreak-response measures are fragmented."
69,C78,78,Overall life satisfaction,"Family, lifestyle and long-term liveability","IC,SC,DO,CR,PF,LF",NATIONAL_WITH_CITY_CAVEAT,DEFER_OR_SPECIAL_STUDY,"Useful outcome check, not a causal relocation criterion; survey culture and annual volatility require caution."
70,C74,74,"Recreation, culture, and leisure","Family, lifestyle and long-term liveability","IC,SC,CR,PF,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,"Useful for lifestyle exploration, but subjective, city-level and unlikely to justify early production effort."
71,C73,73,Quality of urban life,"Family, lifestyle and long-term liveability","IC,SC,DO,CR,LF",CITY_OR_REGIONAL,DEFER_OR_SPECIAL_STUDY,Attractive product concept but primarily city-level and highly composite.
72,C41,41,Local-language difficulty and learning burden,"Language, culture and integration","IC,SC,PF",PREFERENCE_MODEL,DEFER_OR_SPECIAL_STUDY,Inherently depends on the user's known languages and learning context; suited to preference/profile logic.
73,C77,77,Retirement suitability,"Family, lifestyle and long-term liveability","IC,SC,DO,PF,LF",NATIONAL_WITH_CITY_CAVEAT,DEFER_OR_SPECIAL_STUDY,Profile composite rather than universal country property; overlaps the dedicated retirement profile.
74,C24,24,Overall affordability,"Tax, cost and financial conditions","IC,DO",NATIONAL,EXISTING_MONITOR,"Already represented by Konsider's broad household price-level criterion; retain as baseline, not new Phase 5 research."
75,C44,44,Gender equality,"Language, culture and integration","IC,DO",NATIONAL,EXISTING_MONITOR,Already represented by women's legal and economic equality; lived-outcome expansion may be researched separately later.
76,C46,46,Violent-crime and homicide safety,"Safety, health and public services","IC,DO",NATIONAL,EXISTING_MONITOR,Already represented by intentional homicide; broader violent crime is not automatically comparable.
77,C52,52,Air pollution,"Safety, health and public services","IC,DO",NATIONAL,EXISTING_MONITOR,Already represented by population-weighted PM2.5; city air-quality detail belongs to a future layer.
78,C63,63,Infrastructure readiness composite,Infrastructure and daily-life reliability,"IC,DO",NATIONAL,EXISTING_MONITOR,Existing experimental composite; Phase 5 should evaluate components and redundancy rather than treat it as a new criterion.
79,C79,79,Suitability for a software professional,Profile-dependent composites,"PC,DO",PROFILE_ONLY,PROFILE_LAYER,Explicit profile composite built from approved independent criteria; do not search for a separate source.
80,C80,80,Suitability for a medical professional,Profile-dependent composites,"PC,DO",PROFILE_ONLY,PROFILE_LAYER,Explicit profile composite with licensing and language dependencies; do not treat as standalone data.
81,C81,81,Suitability for a student,Profile-dependent composites,"PC,DO",PROFILE_ONLY,PROFILE_LAYER,"Explicit profile composite combining education, affordability, safety and migration pathways."
82,C82,82,Suitability for a family with school-age children,Profile-dependent composites,"PC,DO",PROFILE_ONLY,PROFILE_LAYER,Explicit family profile composite; should be calculated after component criteria mature.
83,C83,83,Suitability for an entrepreneur,Profile-dependent composites,"PC,DO",PROFILE_ONLY,PROFILE_LAYER,"Explicit entrepreneur profile composite; avoid duplicating its underlying business, tax and migration criteria."
84,C84,84,Suitability for retirement,Profile-dependent composites,"PC,DO,PF",PROFILE_ONLY,PROFILE_LAYER,Explicit retirement profile composite and near-duplicate of retirement suitability; calculate from components.
