country_id,parameter_id,score,source,last_updated,notes
united_states,air_quality,7.2,MVP-estimate,2026-01-01,Generally decent with regional variation.
united_states,infrastructure,6.8,MVP-estimate,2026-01-01,Strong digital and business infrastructure with uneven public systems.
united_states,tax_burden,6.0,MVP-estimate,2026-01-01,Varies widely by federal, state, and local profile.
united_states,cost_of_living,4.8,MVP-estimate,2026-01-01,Leading job hubs can be very expensive.
united_states,university_quality,9.6,MVP-estimate,2026-01-01,World-leading higher education ecosystem.
united_kingdom,tech_jobs,8.0,MVP-estimate,2026-01-01,London and regional hubs support a strong tech market.
united_kingdom,finance_jobs,8.8,MVP-estimate,2026-01-01,London is a leading global finance center.
united_kingdom,crime_rate,7.2,MVP-estimate,2026-01-01,Generally safe with city-specific concerns.
united_kingdom,female_safety,7.5,MVP-estimate,2026-01-01,Good overall but public safety concerns vary by area.
united_kingdom,healthcare,7.8,MVP-estimate,2026-01-01,NHS access is valued but wait times can be material.
united_kingdom,air_quality,7.1,MVP-estimate,2026-01-01,Generally moderate to good with urban variation.
united_kingdom,infrastructure,7.4,MVP-estimate,2026-01-01,Strong national systems with aging infrastructure in places.
united_kingdom,tax_burden,5.1,MVP-estimate,2026-01-01,Moderate to high tax burden for professionals.
united_kingdom,cost_of_living,4.9,MVP-estimate,2026-01-01,London and the southeast are expensive.
united_kingdom,university_quality,9.0,MVP-estimate,2026-01-01,Excellent universities and global reputation.
uae,tech_jobs,7.2,MVP-estimate,2026-01-01,Growing tech and digital transformation market.
uae,finance_jobs,8.2,MVP-estimate,2026-01-01,Dubai and Abu Dhabi are strong finance hubs.
uae,crime_rate,8.8,MVP-estimate,2026-01-01,Low crime profile in the MVP scoring model.
uae,female_safety,8.0,MVP-estimate,2026-01-01,High public safety with important legal and cultural context.
uae,healthcare,8.0,MVP-estimate,2026-01-01,High-quality private healthcare access in major emirates.
uae,air_quality,5.9,MVP-estimate,2026-01-01,Heat, dust, and urban conditions affect air quality.
uae,infrastructure,9.0,MVP-estimate,2026-01-01,Excellent urban infrastructure in major emirates.
uae,tax_burden,9.4,MVP-estimate,2026-01-01,Very attractive personal tax profile for many expats.
uae,cost_of_living,5.5,MVP-estimate,2026-01-01,Lifestyle and schooling choices can make costs high.
uae,university_quality,6.8,MVP-estimate,2026-01-01,Improving but less deep than top education destinations.
