"criterion_id","source_item_number","name","category","measures","classification_tags","phase5a_granularity","natural_granularity","likely_authoritative_publisher_families","likely_dataset_or_indicator_families","evidence_refs","cross_country_comparability_estimate","coverage_90_percent_plausible_estimate","expected_coverage_band_estimate","likely_freshness","licensing_uncertainty","finding_status","deep_research_priority","deep_research_rank","recommended_batch","downgrade_rationale","reason_codes","fact_estimate_boundary"
"C11","11","Overall job-market opportunity","Employment, income and economic opportunity","National employment opportunity using employment, unemployment, participation and labour-underutilisation signals.","IC","NATIONAL_WITH_CITY_CAVEAT","national","ILO | World Bank | national statistical offices","ILOSTAT modelled estimates and harmonised labour-force indicators | World Bank WDI representations","E02","C4","YES","HIGH","FAST_MOVING: annual/quarterly, latest 0–2y","MEDIUM","SCREENED_PROMISING","HIGH","1","BATCH_1","Vacancies are not globally comparable, so the first version should stay with harmonised labour outcomes.","CMP_DEFINITION_DIFFERS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C12","12","Software and technology jobs","Employment, income and economic opportunity","Depth of software, ICT, data, AI and cybersecurity employment.","IC | SC | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | national statistical offices | official vacancy services | OECD","ILOSTAT employment by ISCO/industry | official vacancies | OECD ICT employment | online-job data for discovery","E02","C2","NO","MEDIUM","FAST_MOVING: latest 0–2y","HIGH","SCREENED_POSSIBLE","HIGH","11","BATCH_1","Global occupation aggregates are broad; granular tech vacancies are platform-dependent and concentrated in cities.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C13","13","Medical and healthcare jobs","Employment, income and economic opportunity","Demand and employment opportunity for health professionals, separate from licensing access.","IC | SC | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | WHO | national health-workforce observatories","ILOSTAT occupation/industry employment | WHO health workforce density | official shortage lists","E02 | E04","C3","UNCERTAIN","MEDIUM","FAST_MOVING/STANDARD: 0–3y","MEDIUM","SCREENED_POSSIBLE","MEDIUM","22","BATCH_2","Provider shortage is not equivalent to accessible jobs, and licensing must remain a separate gate.","GRA_PROFESSION_SPECIFIC | SEM_CAUSALITY_OVERCLAIM","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C14","14","Business, finance, and professional-services jobs","Employment, income and economic opportunity","Demand for finance, consulting, accounting, marketing, operations, sales and management roles.","IC | SC | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | national statistical offices | official vacancy services","ILOSTAT ISCO/industry employment | labour force surveys | official vacancies","E02","C2","NO","MEDIUM","FAST_MOVING: latest 0–2y","HIGH","SCREENED_POSSIBLE","MEDIUM","23","BATCH_2","Occupational groupings are broad and vacancy data are uneven; major-city concentration is material.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C15","15","Engineering and skilled technical jobs","Employment, income and economic opportunity","Demand for civil, mechanical, electrical, industrial, energy and skilled technical roles.","IC | SC | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | national statistical offices | official vacancy/shortage lists","ILOSTAT ISCO/industry employment | labour force surveys | official shortage occupation lists","E02","C3","UNCERTAIN","MEDIUM","FAST_MOVING: latest 0–2y","MEDIUM","SCREENED_POSSIBLE","MEDIUM","21","BATCH_2","Broad ISCO groups are comparable, but specialisms, licensing and regional projects are not.","GRA_PROFESSION_SPECIFIC | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C16","16","Entrepreneurship and startup opportunity","Employment, income and economic opportunity","Business formation, firm entry, startup activity, finance access and survival conditions.","IC","NATIONAL","national","World Bank | OECD | national business registries | Global Entrepreneurship Monitor","World Bank Entrepreneurship Database | Enterprise Surveys | GEM | venture databases for discovery","","C2","UNCERTAIN","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y","HIGH","SCREENED_POSSIBLE","MEDIUM","24","BATCH_2","Startup funding/activity sources often have selective coverage or commercial terms; formation counts are not survival quality.","COV_BELOW_90_PERCENT | LIC_AMBIGUOUS | SEM_QUESTION_TOO_BROAD","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C17","17","Average earning potential","Employment, income and economic opportunity","Representative gross/net earnings, ideally occupation- and cost-adjusted.","IC | DO | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | World Bank | OECD | national statistical offices","ILOSTAT earnings | ILO modelled labour income | OECD average wages | ICP PPP conversion","E02 | E09","C3","UNCERTAIN","MEDIUM","FAST_MOVING: latest 0–2y","MEDIUM","SCREENED_POSSIBLE","HIGH","4","BATCH_1","National averages mask occupation, tax and city-cost differences; net pay requires household scenarios.","GRA_HOUSEHOLD_SCENARIO_REQUIRED | CMP_GROSS_NET_MISMATCH | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C18","18","Income growth and career mobility","Employment, income and economic opportunity","Wage growth, promotion prospects and occupational mobility over time.","IC | SC | CR | LF","NATIONAL_WITH_CITY_CAVEAT","city/regional","ILO | OECD | national longitudinal and labour-force surveys","ILOSTAT wage growth | OECD earnings mobility | harmonised panel/microdata where available","E02","C2","NO","MEDIUM","FAST_MOVING: latest 0–3y","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Promotion and mobility require longitudinal microdata that are not globally harmonised or broadly reusable.","COV_BELOW_90_PERCENT | CMP_SURVEY_NOT_HARMONISED | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C19","19","Employment protection and worker rights","Employment, income and economic opportunity","Formal and effective protection on hours, leave, dismissal, bargaining and core labour rights.","IC | SC","NATIONAL","national","ILO | national labour ministries","ILO NATLEX/NORMLEX/EPLex | ILOSTAT working time | convention ratification | official statutes","E15 | E02","C3","UNCERTAIN","MEDIUM","STATIC_OR_LEGAL_ASOF plus annual outcomes","HIGH","SCREENED_POSSIBLE","MEDIUM","25","BATCH_2","Law, ratification and enforcement are distinct; comparable coding requires current legal review.","CMP_LEGAL_NOT_LIVED_OUTCOME | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C20","20","Remote-work suitability","Employment, income and economic opportunity","Digital and legal practicality of remote work, including connectivity, visas, coworking and time-zone fit.","IC | DO | CR | LF","NATIONAL_WITH_CITY_CAVEAT","profile-derived","ITU | official immigration authorities | commercial coworking/latency providers","ITU connectivity | digital-nomad visa rules | coworking directories | time-zone calculation","E05","C2","NO","MEDIUM","CURRENT_POLICY/FAST_MOVING","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"It overlaps internet and visas, while time zone and legal fit depend on employer and user origin.","RED_SHARED_COMPONENTS | PRF_PROFILE_ONLY | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C21","21","Personal income-tax burden","Tax, cost and financial conditions","Effective personal income-tax burden for representative income and household cases.","IC","NATIONAL","national","National tax authorities | OECD | IMF/World Bank for denominators","Official tax schedules/calculators | OECD Taxing Wages | PwC/KPMG summaries for discovery","E11","C3","NO","MEDIUM","CURRENT_POLICY: current tax year","HIGH","SCREENED_POSSIBLE","HIGH","5","BATCH_1","OECD's comparable effective-tax model covers only 38 countries; global extension requires maintained official-rule coding.","COV_BELOW_90_PERCENT | OPS_EXCESSIVE_MANUAL_MAINTENANCE | GRA_HOUSEHOLD_SCENARIO_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C22","22","Social-security and mandatory contribution burden","Tax, cost and financial conditions","Employee/employer payroll, pension and other compulsory contribution burden.","IC | SC","NATIONAL","national","National social-security/tax authorities | OECD | ILO","Official contribution schedules | OECD Taxing Wages | ILO Social Security Inquiry","E11 | E15","C3","NO","MEDIUM","CURRENT_POLICY: current contribution year","HIGH","SCREENED_POSSIBLE","MEDIUM","26","BATCH_2","Global comparability is constrained by ceilings, benefit entitlements and the same OECD coverage limit.","COV_BELOW_90_PERCENT | CMP_DEFINITION_DIFFERS | GRA_HOUSEHOLD_SCENARIO_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C23","23","Consumption and indirect-tax burden","Tax, cost and financial conditions","VAT/GST/sales-tax rates and household exposure to indirect taxation.","IC | SC","NATIONAL","national","National tax authorities | IMF | OECD | World Bank","Official VAT/GST schedules | IMF tax databases | OECD Consumption Tax Trends | household expenditure weights","","C2","NO","MEDIUM","CURRENT_POLICY: current tax year","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Headline rates are broad but effective burden needs country-specific exemptions and household consumption baskets.","GRA_HOUSEHOLD_SCENARIO_REQUIRED | COV_BELOW_90_PERCENT | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C24","24","Overall affordability","Tax, cost and financial conditions","Relative household-consumption price level against a common benchmark.","IC | DO","NATIONAL","unsuitable independent","World Bank ICP","ICP household-consumption PPP and price-level indexes","E09","C4","YES","FULL","SLOW_STRUCTURAL/annual extrapolation","LOW","DEFERRED","NO FURTHER WORK",,,"Already represented in Konsider; retain as an existing monitor, not a new Phase 5 research target.","RED_EXISTING_CRITERION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C25","25","Housing affordability","Tax, cost and financial conditions","Rent/home-price burden relative to income and availability in likely migrant destinations.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","National statistical offices | OECD | Eurostat | central banks | city housing observatories","OECD affordable housing | official rent/price indexes | housing-cost-overburden | city rent datasets","","C2","NO","MEDIUM","FAST_MOVING: latest 0–2y","HIGH","DEFERRED_CITY_LAYER","HIGH","6","BATCH_1","High decision value justifies strategic research, but a national average is misleading and global city rent data are often commercial.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C26","26","Healthcare affordability","Tax, cost and financial conditions","Out-of-pocket spending, insurance burden and financial-protection risk.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","national","WHO | World Bank | national health accounts","WHO GHO out-of-pocket share | catastrophic health spending | UHC financial protection | national insurance rules","E04","C3","UNCERTAIN","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y","MEDIUM","SCREENED_POSSIBLE","MEDIUM","27","BATCH_2","Aggregate out-of-pocket shares do not describe immigrant eligibility, premiums or point-of-care prices.","GRA_HOUSEHOLD_SCENARIO_REQUIRED | CMP_POPULATION_DIFFERS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C27","27","Childcare and family-cost burden","Tax, cost and financial conditions","Childcare fees and other recurring family costs for representative households.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","OECD | UNICEF | national ministries/statistical offices | city providers","OECD net childcare costs | UNICEF family policies | official childcare fee/coverage schedules","","C2","NO","LOW","FAST_MOVING: latest 0–2y","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Fees depend on age, city, income, subsidies and immigration status; OECD-style comparisons do not approach global coverage.","GRA_CITY_LEVEL_REQUIRED | GRA_HOUSEHOLD_SCENARIO_REQUIRED | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C28","28","Savings and disposable-income potential","Tax, cost and financial conditions","Net income remaining after taxes and essential household costs.","IC | SC | DO | CR | LF","NATIONAL_WITH_CITY_CAVEAT","profile-derived","Derived from approved earnings, tax, housing, health and childcare components","Profile calculator | no independent dataset","","C1","N/A","N/A","Derived from component vintages","HIGH","DEFERRED_PROFILE_LAYER","LOW",,,"This is a profile-derived composite with shared inputs and scenario weights, not an independent criterion.","PRF_PROFILE_ONLY | RED_SHARED_COMPONENTS | SCO_COMPOSITE_WEIGHTS_ARBITRARY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C29","29","Currency and macroeconomic stability","Tax, cost and financial conditions","Inflation, exchange-rate volatility and broad macro/sovereign stability.","IC | SC","NATIONAL","national","IMF | World Bank | BIS | national central banks","IMF WEO/IFS | World Bank WDI inflation/exchange rates | sovereign risk only as supplement","E10","C4","YES","HIGH","FAST_MOVING: monthly/biannual, latest 0–1y","MEDIUM","SCREENED_PROMISING","MEDIUM","28","BATCH_2","A transparent small indicator set is preferable to a proprietary sovereign-risk composite.","LIC_AMBIGUOUS | SCO_COMPOSITE_WEIGHTS_ARBITRARY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C30","30","Existing immigrant share","Migration, visa and settlement","International migrant or foreign-born stock as a share of resident population.","IC","NATIONAL","national","UN DESA Population Division | World Bank representation | national censuses","International Migrant Stock 2024 total destination and population denominator","E03","C3","YES","FULL","SLOW_STRUCTURAL: 2024 edition; census-driven updates","MEDIUM","SCREENED_PROMISING","HIGH","10","BATCH_1","The source mixes country-of-birth and citizenship definitions and many 2024 values are extrapolated.","CMP_DEFINITION_DIFFERS | CMP_IMPUTED_VALUES_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C31","31","Immigrant community depth","Migration, visa and settlement","Size, origin diversity and local concentration of established migrant communities.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","UN DESA | national censuses/statistical offices","UN migrant stock by origin/destination | census foreign-born by origin | city population tables","E03","C3","UNCERTAIN","MEDIUM","SLOW_STRUCTURAL: census/2024 stock","MEDIUM","DEFERRED_CITY_LAYER","LOW",,,"Origin-specific usefulness and city concentration make a single national diversity score weak.","GRA_ORIGIN_SPECIFIC | GRA_CITY_LEVEL_REQUIRED | SCO_NO_CLEAR_DIRECTION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C32","32","Skilled-work visa accessibility","Migration, visa and settlement","Accessibility of skilled-worker routes under a fixed worker profile and policy date.","IC | SC | LF","NATIONAL","profile-derived","National immigration authorities | EU Immigration Portal | OECD/ILO as cross-checks","Official visa statutes, occupation lists, salary thresholds, quotas, processing guidance","","C2","NO","LOW","CURRENT_POLICY: current as-of snapshot","HIGH","SCREENED_POSSIBLE","HIGH","2","BATCH_1","No global ready-made dataset; eligibility depends on occupation, salary, origin, sponsor and changing rules.","GRA_ORIGIN_SPECIFIC | GRA_PROFESSION_SPECIFIC | OPS_EXCESSIVE_MANUAL_MAINTENANCE | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
